,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
19,Serum trough value_M + UA_H,0.0,0.044192803780794584,0.0,0.0,0.0,0.0,0.0,0.0
16,Age_H + SCr_H,0.0,0.17024998669637523,0.0,0.0,0.0,0.0,0.0,0.0
14,Serum trough value_H + UA_H,0.0,0.044192803780794584,0.0,0.0,0.0,0.0,0.0,0.0
11,Last therapeutic dose_L + SCr_h,0.0,0.19574492747489847,0.0,0.0,0.0,0.0,0.0,0.0
18,Gender_female + Hb_L,0.0,0.24961996038027337,0.0,0.0,0.0,0.0,0.0,0.0
7,Gender,0.02349240891635418,0.24243786328095515,0.0005107263880451833,0.0,0.0016409430916853778,0.0,0.0,0.0
12,TP_L + SCr_H,0.029671773314476013,0.1659158071315392,0.00967252536082831,0.0,0.00967252536082831,0.0,0.017301559448242188,0.0
3,RBC,0.031033508479595184,17.99528256127947,0.07677730425136296,-0.05179520103875108,0.09068495457566629,0.0672203349316214,0.08839178085327148,0.049449920654296875
9,WBC,0.0333433672785759,42.9722005390024,-0.08378213972557248,0.07029313365305502,0.09449028030155211,0.10482313501553273,0.04609823226928711,0.10439729690551758
8,CRP,0.038987454026937485,29.966014498495625,-1.3978462519608144e-05,0.0014886217793141762,0.015852098389873354,0.014292818354809379,0.0,0.0
5,Weight,0.04011653736233711,13.87759941751567,-0.0664778619300662,0.01886903958057794,0.0664778619300662,0.019593711913101317,0.02752542495727539,0.0
4,Age,0.04228361323475838,7.811045450185401,0.012462274296077217,-0.0203840939078744,0.03432647449763741,0.03767576367836299,0.025717735290527344,0.026201248168945312
0,SCr,0.044955071061849594,35.72377169904836,0.011348735629104253,-0.05048415041345311,0.0405282486142136,0.06788321742861289,0.02948284149169922,0.048946380615234375
2,Serumtrough value,0.0484020859003067,5.019940415612873,0.026090513064166692,-0.04700219537329486,0.027318582760067437,0.04790390570332685,0.0,0.0
1,Last_therapeutic_dose,0.05429578199982643,1.810318847523187,-0.023089619133416124,0.08761253507118526,0.04139889694574311,0.08791692238154374,0.0,0.0
6,Fluconazole,0.06030023470520973,0.1659158071315392,0.047826076117087536,0.0,0.04784774029348779,0.0,0.057422637939453125,0.0
13,Quinolones + SCr_H,0.07842213660478592,0.06224956023953505,0.140064994181235,0.0,0.140064994181235,0.0,0.0,0.0
10,HCT_L + SCr_H,0.1185290664434433,0.18575001751315665,0.00750191756120817,0.0,0.00750191756120817,0.0,0.0,0.0
15,Weight_L + PLT_L,0.1226843073964119,0.07593425796057446,0.06388686773345226,0.0,0.06388686773345226,0.0,0.07309532165527344,0.0
17,Gender_female + SCr_H,0.23348261415958405,0.13466638879123682,0.135914603556235,0.0,0.137669409353902,0.0,0.1594400405883789,0.0
